"cn","c0","c0t","c0_class_realm","c1","c1_class_biome","c2","ct","c2_class_ecosystem_functional_group","c3","c3_class_occurrence","raster","vector","tname","note"
22011,2,"S","Subterranean",2,"Anthropogenic subterranean voids",1,"S2.1","Anthropogenic subterranean voids",1,"major","S2.1.web.orig_v1.0.tif","S2.1.web.orig_v1.0.json","s2_1_web_orig_v1_0",NULL
22012,2,"S","Subterranean",2,"Anthropogenic subterranean voids",1,"S2.1","Anthropogenic subterranean voids",2,"minor","S2.1.web.orig_v1.0.tif","S2.1.web.orig_v1.0.json","s2_1_web_orig_v1_0",NULL
31011,3,"SF","Subterranean-Freshwater",1,"Subterranean freshwaters",1,"SF1.1","Underground streams and pools",1,"major","SF1.1.web.orig_v1.0.tif","SF1.1.web.orig_v1.0.json","sf1_1_web_orig_v1_0",NULL
31012,3,"SF","Subterranean-Freshwater",1,"Subterranean freshwaters",1,"SF1.1","Underground streams and pools",2,"minor","SF1.1.web.orig_v1.0.tif","SF1.1.web.orig_v1.0.json","sf1_1_web_orig_v1_0",NULL
31021,3,"SF","Subterranean-Freshwater",1,"Subterranean freshwaters",2,"SF1.2","Groundwater ecosystems",1,"major","SF1.2.web.orig_v1.0.tif","SF1.2.web.orig_v1.0.json","sf1_2_web_orig_v1_0",NULL
31022,3,"SF","Subterranean-Freshwater",1,"Subterranean freshwaters",2,"SF1.2","Groundwater ecosystems",2,"minor","SF1.2.web.orig_v1.0.tif","SF1.2.web.orig_v1.0.json","sf1_2_web_orig_v1_0",NULL
32011,3,"SF","Subterranean-Freshwater",2,"Anthropogenic subterranean freshwaters",1,"SF2.1","Water pipes and subterranean canals",1,"major","SF2.1.web.orig_v1.0.tif","SF2.1.web.orig_v1.0.json","sf2_1_web_orig_v1_0",NULL
32012,3,"SF","Subterranean-Freshwater",2,"Anthropogenic subterranean freshwaters",1,"SF2.1","Water pipes and subterranean canals",2,"minor","SF2.1.web.orig_v1.0.tif","SF2.1.web.orig_v1.0.json","sf2_1_web_orig_v1_0",NULL
32021,3,"SF","Subterranean-Freshwater",2,"Anthropogenic subterranean freshwaters",2,"SF2.2","Flooded mines and other voids",1,"major","SF2.2.web.orig_v1.0.tif","SF2.2.web.orig_v1.0.json","sf2_2_web_orig_v1_0",NULL
32022,3,"SF","Subterranean-Freshwater",2,"Anthropogenic subterranean freshwaters",2,"SF2.2","Flooded mines and other voids",2,"minor","SF2.2.web.orig_v1.0.tif","SF2.2.web.orig_v1.0.json","sf2_2_web_orig_v1_0",NULL
41011,4,"SM","Subterranean-Marine",1,"Tidal subterranean systems",1,"SM1.1","Anchialine caves",1,"major","SM1.1.web.grid_v3.0.tif","SM1.1.web.grid_v3.0.json","sm1_1_web_grid_v3_0",NULL
41012,4,"SM","Subterranean-Marine",1,"Tidal subterranean systems",1,"SM1.1","Anchialine caves",2,"minor","SM1.1.web.grid_v3.0.tif","SM1.1.web.grid_v3.0.json","sm1_1_web_grid_v3_0",NULL
41021,4,"SM","Subterranean-Marine",1,"Tidal subterranean systems",2,"SM1.2","Anchialine pools",1,"major","SM1.2.web.grid_v3.0.tif","SM1.2.web.grid_v3.0.json","sm1_2_web_grid_v3_0",NULL
41022,4,"SM","Subterranean-Marine",1,"Tidal subterranean systems",2,"SM1.2","Anchialine pools",2,"minor","SM1.2.web.grid_v3.0.tif","SM1.2.web.grid_v3.0.json","sm1_2_web_grid_v3_0",NULL
41031,4,"SM","Subterranean-Marine",1,"Tidal subterranean systems",3,"SM1.3","Sea caves",1,"major","SM1.3.web.grid_v3.0.tif","SM1.3.web.grid_v3.0.json","sm1_3_web_grid_v3_0",NULL
41032,4,"SM","Subterranean-Marine",1,"Tidal subterranean systems",3,"SM1.3","Sea caves",2,"minor","SM1.3.web.grid_v3.0.tif","SM1.3.web.grid_v3.0.json","sm1_3_web_grid_v3_0",NULL
51011,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",1,"TF1.1","Tropical flooded forests and peat forests",1,"major","TF1.1.web.map_v1.0.tif","TF1.1.web.map_v1.0.json","tf1_1_web_map_v1_0",NULL
51012,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",1,"TF1.1","Tropical flooded forests and peat forests",2,"minor","TF1.1.web.map_v1.0.tif","TF1.1.web.map_v1.0.json","tf1_1_web_map_v1_0",NULL
51021,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",2,"TF1.2","Subtropical/temperate forested wetlands",1,"major","TF1.2.web.orig_v2.0.tif","TF1.2.web.orig_v2.0.json","tf1_2_web_orig_v2_0",NULL
51022,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",2,"TF1.2","Subtropical/temperate forested wetlands",2,"minor","TF1.2.web.orig_v2.0.tif","TF1.2.web.orig_v2.0.json","tf1_2_web_orig_v2_0",NULL
51031,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",3,"TF1.3","Permanent marshes",1,"major","TF1.3.web.orig_v1.0.tif","TF1.3.web.orig_v1.0.json","tf1_3_web_orig_v1_0",NULL
51032,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",3,"TF1.3","Permanent marshes",2,"minor","TF1.3.web.orig_v1.0.tif","TF1.3.web.orig_v1.0.json","tf1_3_web_orig_v1_0",NULL
51041,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",4,"TF1.4","Seasonal floodplain marshes",1,"major","TF1.4.web.map_v1.0.tif","TF1.4.web.map_v1.0.json","tf1_4_web_map_v1_0",NULL
