"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"|"v_sqkm"|"r_sqkm"|"old_first_level_code"|"geom"
11401|"New Guinea mangroves"|14|"Mangroves"|1|"Australasia"|"teow"|"25049.1519118616"|"25049.4099660226"|11401|NULL
20001|"North Greenland"|1|"Arctic"|1|"Arctic"|"meow"|"188155.81499002"|"188098.3157969654"|20001|NULL
20002|"North and East Iceland"|1|"Arctic"|1|"Arctic"|"meow"|"39431.639913308"|"39445.00697081967"|20002|NULL
20003|"East Greenland Shelf"|1|"Arctic"|1|"Arctic"|"meow"|"146394.500114634"|"146384.74336732161"|20003|NULL
20004|"West Greenland Shelf"|1|"Arctic"|1|"Arctic"|"meow"|"198213.565334917"|"198219.79983187222"|20004|NULL
20005|"Northern Grand Banks - Southern Labrador"|1|"Arctic"|1|"Arctic"|"meow"|"158985.07714922"|"158995.54365909708"|20005|NULL
20006|"Northern Labrador"|1|"Arctic"|1|"Arctic"|"meow"|"135047.130919478"|"135049.84659356746"|20006|NULL
20008|"Hudson Complex"|1|"Arctic"|1|"Arctic"|"meow"|"1126604.41401612"|"1126604.4763548607"|20008|NULL
20011|"Beaufort-Amundsen-Viscount Melville-Queen Maud"|1|"Arctic"|1|"Arctic"|"meow"|"309497.365297718"|"309453.4536771431"|20011|NULL
20012|"Beaufort Sea - continental coast and shelf"|1|"Arctic"|1|"Arctic"|"meow"|"128742.580435692"|"128741.23243839006"|20012|NULL
20013|"Chukchi Sea"|1|"Arctic"|1|"Arctic"|"meow"|"591882.663334197"|"591785.9296880781"|20013|NULL
20015|"East Siberian Sea"|1|"Arctic"|1|"Arctic"|"meow"|"911917.260316381"|"911736.5687412843"|20015|NULL
20016|"Laptev Sea"|1|"Arctic"|1|"Arctic"|"meow"|"516093.545565488"|"516110.7415809042"|20016|NULL
20017|"Kara Sea"|1|"Arctic"|1|"Arctic"|"meow"|"807392.185341971"|"807563.7679834828"|20017|NULL
20018|"North and East Barents Sea"|1|"Arctic"|1|"Arctic"|"meow"|"905543.491413853"|"905648.2857632457"|20018|NULL
20019|"White Sea"|1|"Arctic"|1|"Arctic"|"meow"|"84834.4304916083"|"84826.60970520195"|20019|NULL
20020|"South and West Iceland"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"103268.483516604"|"103254.41884380743"|20020|NULL
20021|"Faroe Plateau"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"34189.61323155"|"34190.337439432515"|20021|NULL
20022|"Southern Norway"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"69708.7462400812"|"69718.80667058784"|20022|NULL
20023|"Northern Norway and Finnmark"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"108796.322807003"|"108703.31100595222"|20023|NULL
20024|"Baltic Sea"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"372848.844914507"|"372859.9164827785"|20024|NULL
20025|"North Sea"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"621732.967908413"|"621728.371743518"|20025|NULL
20026|"Celtic Seas"|2|"Northern European Seas"|2|"Temperate Northern Atlantic"|"meow"|"440967.367557966"|"441098.1596739888"|20026|NULL
20027|"South European Atlantic Shelf"|3|"Lusitanian"|2|"Temperate Northern Atlantic"|"meow"|"155056.712949315"|"154931.4147616176"|20027|NULL
20028|"Saharan Upwelling"|3|"Lusitanian"|2|"Temperate Northern Atlantic"|"meow"|"128528.919347047"|"128536.06510297154"|20028|NULL
