"eco_id"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"31303"|31303|"East Saharan montane xeric woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31304"|31304|"Eritrean coastal desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31305"|31305|"Ethiopian xeric grasslands and shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31306"|31306|"Gulf of Oman desert and semi-desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31307"|31307|"Hobyo grasslands and shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31308"|31308|"Ile Europa and Bassas da India xeric scrub"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31309"|31309|"Kalahari xeric savanna"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31310"|31310|"Kaokoveld desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31311"|31311|"Madagascar spiny thickets"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31312"|31312|"Madagascar succulent woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31313"|31313|"Masai xeric grasslands and shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31314"|31314|"Nama Karoo"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31315"|31315|"Namib desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31316"|31316|"Namibian savanna woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31318"|31318|"Socotra Island xeric shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31319"|31319|"Somali montane xeric woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31320"|31320|"Southwestern Arabian foothills savanna"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31321"|31321|"Southwestern Arabian montane woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31322"|31322|"Succulent Karoo"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31401"|31401|"Central African mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"
"31402"|31402|"East African mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"
"31403"|31403|"Guinean mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"
"31404"|31404|"Madagascar mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"
"31405"|31405|"Southern Africa mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"
"40101"|40101|"Andaman Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40102"|40102|"Borneo lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40103"|40103|"Borneo montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40104"|40104|"Borneo peat swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40105"|40105|"Brahmaputra Valley semi-evergreen forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40106"|40106|"Cardamom Mountains rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40107"|40107|"Chao Phraya freshwater swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40108"|40108|"Chao Phraya lowland moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40109"|40109|"Chin Hills-Arakan Yoma montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40110"|40110|"Christmas and Cocos Islands tropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40111"|40111|"Eastern highlands moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40112"|40112|"Eastern Java-Bali montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40113"|40113|"Eastern Java-Bali rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40114"|40114|"Greater Negros-Panay rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
"40115"|40115|"Himalayan subtropical broadleaf forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"
